,Артикул,Назва,Вага,Ціна
0,1542,ДОБРИВО ДЛЯ ВІЧНОЗЕЛЕНИХ ДЕРЕВ ТА КУЩІВ ОСІНЬ,3.0,799.0
1,1523,ДОБРИВО ДЛЯ ВІЧНОЗЕЛЕНИХ ДЕРЕВ ТА КУЩІВ ОСІНЬ,10.0,2299.0
2,1525,ДОБРИВО УНІВЕРСАЛЬНЕ ГРУНТОВЕ ОСІНЬ,1.0,348.0
3,1528,ДОБРИВО ДЛЯ ГАЗОНУ ОСІНЬ,1.0,348.0
4,1536,ДОБРИВО ДЛЯ ГАЗОНУ ОСІНЬ,10.0,2299.0
5,1608,"ДОБРИВО ДЛЯ САМШИТУ ТА ВІЧНОЗЕЛЕНИХ ЧАГАРНИКІВ, Yara Folicare",0.18,119.0
6,1610,"ДОБРИВО ДЛЯ ХВОЙНИХ РОСЛИН, Yara Folicare",0.18,169.0
7,1537,ДОБРИВО ДЛЯ ДЕКОРАТИВНИХ ЛИСТОВИХ ВЕСНА-ЛІТО,3.0,799.0
8,1538,ДОБРИВО ДЛЯ ВІЧНОЗЕЛЕНИХ ДЕРЕВ ТА КУЩІВ ВЕСНА-ЛІТО,10.0,2299.0
9,1539,ДОБРИВО ДЛЯ ДЕКОРАТИВНИХ ЛИСТОВИХ ВЕСНА-ЛІТО,1.0,348.0
10,1540,ДОБРИВО ДЛЯ ОВОЧІВ,3.0,799.0
11,1541,ДОБРИВО ДЛЯ ВИНОГРАДУ,1.0,348.0
12,1543,ДОБРИВО ДЛЯ ГАЗОНУ ВЕСНА-ЛІТО,1.0,348.0
13,1544,ДОБРИВО ДЛЯ ОВОЧІВ,1.0,348.0
14,1545,ДОБРИВО ДЛЯ РОЗСАДИ,1.0,348.0
15,1546,ДОБРИВО ДЛЯ ТЕПЛИЧНИХ ОВОЧІВ,3.0,799.0
16,1547,ДОБРИВО ДЛЯ ТРОЯНД,1.0,348.0
17,1548,ДОБРИВО ДЛЯ ВІЧНОЗЕЛЕНИХ ДЕРЕВ ТА КУЩІВ ВЕСНА-ЛІТО,1.0,348.0
18,1549,ДОБРИВО ДЛЯ ГАЗОНУ ВЕСНА-ЛІТО,10.0,2299.0
19,1550,ДОБРИВО ДЛЯ ТЕПЛИЧНИХ ОВОЧІВ,1.0,348.0
20,1551,PULAN 34.4,,17800.0
21,1554,SALETRZAK 27 MACRO,,4850.0
22,1555,SIARCZAN AS 21 MACRO,,11790.0
23,1556,YARABELA СУЛЬФАН,,26680.0
24,1557,"YARAMILA NP 20-20 +9,0SO3",,29320.0
25,1558,YARAMILA NPK 12-24-12,,33160.0
26,1559,YARAMILA NPK 16-16-16,,30250.0
27,1560,YARAMILA NPK 16-27-7,,33910.0
28,1562,YARAMILA NPK 7-20-28,,33160.0
29,1563,YARAMILA NPK 8-24-24,,34920.0
30,1564,"YARAMILA NPK 9-12-25 + 2MGO + 6,5SO3 + MICRO",,28470.0
