"Ціна, грн",Кімнати,Площа,Район,Адреса,Координати,Відстань,Рейтинг
9990,1,40,Дарницький,"вул. Ващенка, 5","(50.38725000000005, 30.624140000000068)",1111,2
15000,2,58,Печерський,"вул. Хрещатик, 21","(50.446229996367464, 30.52240998042859)",251,3
12000,2,52,Дніпровський,"вул. Микільсько-Слобідська, 4","(50.45487002025121, 30.589929982363202)",659,1
22000,3,82,Шевченківський,"вул. Глибочицька, 13","(50.46096576761422, 30.488567626498625)",551,3
6000,1,29,Шевченківський,"вул. Борщагівська, 16","(50.44716001043429, 30.46810002553653)",413,3
9900,1,40,Дарницький,"вул. Софії Русової, 7","(50.38737000915566, 30.626350022212762)",1195,2
5500,1,33,Солом'янський,"вул. Героїв Севастополя, 25","(50.43682001085804, 30.420689969519486)",2416,2
7500,1,34,Дарницький,"вул. Вербицького, 15","(50.40818001162643, 30.66512998690135)",499,2
14000,3,72,Дарницький,"вул. Ахматової, 16в","(50.410729996119954, 30.632450036067723)",1349,2
15000,1,47,Оболонський,"просп. Героїв Сталінграда, 2д","(50.48955999337582, 30.52956996975911)",2507,2
48678,3,90,Шевченківський,"вул. Костьольна, 9","(50.45236001743578, 30.52384001692937)",202,3
29000,2,66,Печерський,"вул. Маккейна, 1б","(50.41427134476537, 30.52868030450312)",259,3
6000,3,60,Дніпровський,"просп. Павла Тичини, 24","(50.43043999952749, 30.609689983823188)",2479,1
10000,1,20,Дніпровський,"вул. Каховська, 60","(50.46188998988919, 30.591739970534917)",1244,1
8500,2,50,Подільський,"просп. Свободи, 34","(50.51545001590412, 30.428239968804746)",4306,2
12000,1,47,Оболонський,"вул. Кондратюка, 5","(50.52610999463411, 30.459860027981847)",2756,2
15499,1,44,Дарницький,"вул. Вишняківська, 4","(50.393680508689265, 30.652287384334926)",835,2
13500,1,42,Голосіївський,"вул. Ломоносова, 50/2","(50.385830002085214, 30.4649200152908)",1011,3
14000,3,70,Оболонський,"вул. Сім’ї Кульженків, 31а","(50.52133000480072, 30.468189963357617)",2152,2
9500,1,37,Дарницький,"вул. Софії Русової, 5","(50.38809001463841, 30.626589996100677)",1146,2
4500,1,28,Подільський,"просп. Правди, 88б","(50.50898999930777, 30.41421000399356)",3760,2
7000,1,36,Оболонський,"вул. Прирічна, 5","(50.51491001179204, 30.514209964552066)",1208,2
10000,2,56,Шевченківський,"вул. Олександра Довженка, 14","(50.46122999883315, 30.447750021912043)",745,3
15000,2,75,Дніпровський,"вул. Окіпної, 8","(50.44900998028416, 30.590730035021323)",533,1
7000,1,31,Дніпровський,"Русанівська наб., 14/1","(50.442170012016874, 30.593239995927206)",1055,1
7500,1,34,Оболонський,"просп. Оболонський, 16","(50.50749001582503, 30.499390005366593)",449,2
40000,4,170,Солом'янський,"вул. Вадима Гетьмана, 1в","(50.45236001743578, 30.446140025950115)",274,2
30000,3,110,Солом'янський,"вул. Вадима Гетьмана, 1в","(50.45236001743578, 30.446140025950115)",274,2
32452,2,60,Дарницький,"вул. Трускавецька, 8","(50.40181999113494, 30.601470019017086)",879,2
10000,1,57,Дарницький,"просп. Бажана, 24/1","(50.39907000000005, 30.64283000000006)",652,2
9000,1,38,Дарницький,"вул. Бориса Гмирі, 16","(50.390859982180814, 30.630250037941266)",896,2
14000,1,44,Подільський,"вул. Тираспольська, 60","(50.482645836127695, 30.43115865769585)",658,2
9500,1,46,Дарницький,"вул. Урлівська, 23в","(50.40967999510917, 30.612590038502873)",1581,2
15000,1,50,Шевченківський,"вул. Парково-Сирецька, 4в","(50.464330003813075, 30.438309987279723)",1171,3
10000,1,27,Подільський,"вул. Григорія Сковороди, 3","(50.465939999775, 30.519659961815762)",237,2
8000,2,57,Шевченківський,"вул. Білоруська, 1","(50.46236000510973, 30.479170005060354)",140,3
12000,3,60,Солом'янський,"вул. Ушинського, 14б","(50.43336000313673, 30.447829985268328)",2352,2
10000,1,42,Святошинський,"вул. Верховинця, 10","(50.45366133446728, 30.3846415085859)",694,1
8000,1,34,Оболонський,"просп. Оболонський, 9","(50.50583999627543, 30.497350017771765)",557,2
15000,2,53,Дарницький,"вул. Драгоманова, 38а","(50.40868095943837, 30.638897358787204)",1179,2
10990,1,32,Голосіївський,"вул. Васильківська, 2а","(50.39787999372831, 30.505680036966538)",327,3
15000,1,60,Голосіївський,"вул. Голосіївська, 13а","(50.39899000916583, 30.519500035103164)",657,3
16000,2,48,Печерський,"Бастіонний пров., 9","(50.418090019569775, 30.556110008878676)",858,3
12000,1,47,Шевченківський,"просп. Перемоги, 9","(50.453140000000076, 30.44724000000008)",232,3
9000,2,73,Дарницький,"просп. Григоренка, 28","(50.405329996908705, 30.62928000028677)",809,2
20000,1,60,Шевченківський,"вул. Кирило-Мефодіївська, 2","(50.45238000827487, 30.473620011691764)",526,3
11000,1,40,Дніпровський,"вул. Регенераторна, 4к3","(50.43754999080559, 30.621279976620002)",2165,1
15000,1,45,Солом'янський,"просп. Лобановського, 96","(50.41118002050146, 30.484880008960545)",2189,2
20000,2,67,Дарницький,"вул. Зарічна, 1в","(50.395749984493364, 30.60071003185618)",309,2
15000,2,73,Шевченківський,"Артилерійський пров., 9а","(50.46131000409895, 30.424889973562614)",526,3
4500,2,45,Дніпровський,"вул. Запорожця, 11а","(50.479959990121415, 30.5995499764567)",2805,1
11800,1,42,Дніпровський,"вул. Каховська, 60","(50.46188998988919, 30.591739970534917)",1244,1
13000,1,46,Дніпровський,"вул. Краківська, 27а","(50.45710815739729, 30.63064144329166)",314,1
15000,1,41,Дніпровський,"вул. Каховська, 60","(50.46188998988919, 30.591739970534917)",1244,1
5000,1,21,Святошинський,"вул. Тулузи, 12","(50.43085000032133, 30.37226000352402)",2825,1
20000,3,80,Печерський,"вул. Грушевського, 34а","(50.44338999802406, 30.540520004248492)",341,3
6500,1,35,Дарницький,"вул. Привокзальна, 12","(50.42899998856197, 30.64254997793705)",3183,2
19000,2,70,Шевченківський,"вул. Стрілецька, 28","(50.45167999363116, 30.51032998157214)",496,3
45028,1,58,Печерський,"вул. Маккейна, 1","(50.41386160750834, 30.52656955425985)",107,3
15000,2,70,Святошинський,"вул. Феодори Пушиної, 23","(50.457370006692315, 30.36625998577395)",195,1
7500,1,40,Дарницький,"вул. Вербицького, 8","(50.41138001271122, 30.650900029880404)",1144,2
5500,2,45,Святошинський,"вул. Корсуньська, 17/32","(50.47836001053375, 30.345389968876447)",1503,1
8000,1,43,Дарницький,"вул. Драгоманова, 12а","(50.41322998256106, 30.634430009235814)",1626,2
11900,1,30,Шевченківський,"вул. Зоологічна, 4а","(50.45947998317865, 30.46345997157667)",996,3
12000,1,37,Подільський,"вул. Данченка, 32","(50.4961869473755, 30.432034866758478)",2164,2
4500,1,38,Дніпровський,"просп. Романа Шухевича, 24а","(50.49310998082771, 30.595119972990403)",4290,1
16000,2,45,Шевченківський,"просп. Перемоги, 1","(50.453140000000076, 30.44724000000008)",232,3
13000,1,38,Печерський,"Наддніпрянське ш., 2а","(50.422003917344426, 30.56903456070175)",1836,3
9900,1,38,Дарницький,"вул. Драгоманова, 6/1","(50.41598000117389, 30.634439983700616)",1931,2
11000,1,30,Печерський,"Наддніпрянське ш., 2а","(50.422003917344426, 30.56903456070175)",1836,3
10000,1,38,Голосіївський,"вул. Заболотного, 14","(50.367250004954286, 30.460309968544323)",370,3
10000,1,30,Солом'янський,"вул. Гонгадзе, 41","(50.45000961197567, 30.420103035263796)",949,2
10000,1,39,Подільський,"вул. Тираспольська, 54","(50.482645836127695, 30.43115865769585)",658,2
19500,1,48,Дарницький,"Дніпровська наб., 16д","(50.40122739971355, 30.615020220719288)",628,2
5999,1,32,Шевченківський,"вул. Багговутівська, 12","(50.470480015720455, 30.47625000145112)",958,3
16000,2,80,Оболонський,"просп. Героїв Сталінграда, 6","(50.49481521226246, 30.520126498425324)",1664,2
25000,2,42,Шевченківський,"вул. Прорізна, 18/1г","(50.44882000444866, 30.516639962101664)",202,3
19999,2,85,Голосіївський,"вул. Голосіївська, 13","(50.40076001565939, 30.520599992256905)",494,3
18000,3,101,Дарницький,"просп. Бажана, 24/1","(50.39907000000005, 30.64283000000006)",652,2
17000,1,40,Шевченківський,"вул. Коперніка, 3","(50.45948246407995, 30.483324280635046)",364,3
7500,2,49,Шевченківський,"вул. Щербаківського, 61","(50.479660001806764, 30.40525000095613)",1800,3
9000,1,20,Печерський,"Наддніпрянське ш., 2а","(50.422003917344426, 30.56903456070175)",1836,3
